Brand,Model,Year,Mileage_kmpl,Engine_CC,Horsepower,Fuel_Type,Transmission,Owner_Type,Color,City,Kms_Driven,Insurance_Valid,Service_History,Accidents,Tax_Paid,Number_of_Doors,Seats,Registration_Age,Price
Tata,Harrier,2004,14.70673341,,112.8298753,Diesel,,First,Silver,Hyderabad,405762,1,1,0,1,4,7,21,61600.56858
Nissan,Sunny,2020,,939.6704464,118.5015528,Diesel,Manual,Second,Brown,Hyderabad,116935,1,1,0,1,5,5,5,819404.5138
Mercedes,E-Class,2008,14.36721964,1859.035168,147.0970497,Petrol,Automatic,Third,Red,Mumbai,283220,1,0,0,1,4,5,17,958875.4848
Volkswagen,Polo,2024,19.61032832,1176.489259,107.9301723,CNG,Automatic,Third,Brown,Chennai,7517,1,0,0,1,4,5,1,1117842.471
BMW,X3,2009,18.96214931,1911.992909,163.0500968,Petrol,Manual,Third,Brown,Bangalore,104512,1,0,0,1,4,5,16,1210788.431
Toyota,Camry,2011,18.20750723,1851.570601,150.7879282,Diesel,Automatic,Second,Red,Hyderabad,122066,1,1,0,1,4,5,14,1081716.988
Nissan,Kicks,2022,19.9505869,1421.152016,115.3595816,Petrol,Automatic,First,Blue,Hyderabad,27402,1,1,0,1,4,5,3,1263039.484
Honda,Civic,2005,13.54997836,1860.876451,144.9229845,Petrol,Manual,First,Silver,Mumbai,309620,1,1,0,0,4,5,20,531229.9958
Volkswagen,Polo,2007,17.15011347,,,Petrol,Manual,First,Red,Hyderabad,365346,0,1,1,1,4,5,18,124227.3712
Mahindra,XUV700,2007,,1512.214646,127.6713111,Electric,Manual,First,White,Ahmedabad,235116,1,1,0,1,5,5,18,696510.6347
Mahindra,Scorpio,2000,22.96587765,1440.13903,119.7269077,Petrol,Automatic,First,Brown,Pune,506700,1,1,0,1,4,5,25,50000
Volkswagen,Taigun,2006,19.59462435,1507.223603,109.7864058,Petrol,Automatic,First,Blue,,226233,0,1,0,1,4,5,19,748251.0392
Toyota,Camry,2019,,,184.1583518,Petrol,Manual,First,Brown,Ahmedabad,115506,1,1,0,1,5,4,6,930844.5356
BMW,3 Series,2000,21.49222963,1288.822304,116.2692594,Petrol,Automatic,Second,Blue,Mumbai,159500,1,1,1,1,4,5,25,1793533.46
Tata,Nexon,2010,9.642255285,2287.915597,168.7454104,,Manual,Second,Black,Pune,372840,1,1,1,1,5,4,15,78090.84329
Audi,Q3,2014,14.58095638,1873.369933,133.5355558,Electric,Automatic,Second,White,Hyderabad,80762,1,1,0,1,5,5,11,2989961.287
Skoda,Kushaq,2013,17.33645598,1365.580476,,Petrol,Automatic,Second,Grey,Pune,65940,0,1,0,1,5,4,12,682029.8841
Nissan,Magnite,2002,22.80992645,1913.734269,183.9525743,Petrol,Manual,First,Blue,Chennai,165186,0,0,0,1,5,5,23,50000
Ford,Figo,2005,,1828.581007,163.3614671,Diesel,Automatic,Second,,,300080,1,1,0,1,4,5,20,324166.1496
Audi,Q5,2006,21.69549368,800,43.63240706,Diesel,Automatic,First,Brown,Chennai,120669,1,1,2,1,4,5,19,2151908.431
Honda,City,2007,17.43459504,,97.87646471,,Manual,First,Blue,Bangalore,249246,1,1,0,1,4,5,18,50000
Audi,Q3,2015,18.82394391,1630.530966,,Diesel,Automatic,First,,Bangalore,123280,0,1,0,1,4,5,10,1278002.845
Skoda,Slavia,2008,19.76962149,895.5291333,69.62380795,Petrol,Automatic,First,Silver,Kolkata,143599,1,1,1,1,4,7,17,829057.7104
Skoda,Octavia,2001,29.45985578,1295.165883,107.2616637,,Automatic,First,Brown,Delhi,256296,1,1,0,1,4,5,24,232352.6656
Volkswagen,Polo,2003,19.52546692,800,62.09974061,electrik,Manual,Fourth+,Brown,Mumbai,504306,1,1,0,1,5,5,22,50000
Hyundai,Verna,2000,16.19615389,1486.977278,127.6595872,Petrol,Automatic,Second,White,Chennai,442750,1,1,0,1,2,5,25,361890.8006
Volkswagen,Taigun,2018,19.3147904,1654.248375,113.5641788,Diesel,Automatic,Second,White,Hyderabad,100765,1,0,0,1,4,5,7,576381.1354
Audi,Q3,2009,18.8873052,1515.222536,121.0323421,Petrol,Automatic,First,Silver,Ahmedabad,357616,1,1,1,1,4,4,16,1054996.586
Toyota,Camry,2007,,1954.181684,165.0024829,Hybrid,Automatic,First,White,Hyderabad,427428,1,1,1,1,2,5,18,50000
Ford,EcoSport,2012,18.74211557,1547.681675,130.1948453,Hybrid,Manual,Third,Red,Ahmedabad,228787,1,0,0,0,5,7,13,275459.5376
Nissan,Magnite,2005,10.22012975,1108.642556,85.89136128,Petrol,Automatic,First,Red,Ahmedabad,306620,1,1,0,1,5,5,20,310850.679
Skoda,Octavia,2014,13.48689235,1645.017838,119.1380344,Petrol,Manual,Third,Blue,Bangalore,179949,1,1,0,1,4,5,11,707707.8291
Tata,Nexon,2007,16.23391755,945.4374716,40.46235224,Petrol,,First,White,Mumbai,218898,0,0,1,1,4,7,18,50000
BMW,X3,2004,,1137.820241,72.99640646,Diesel,,Third,Black,,407631,1,1,0,1,4,5,21,2324499.296
Mahindra,XUV700,2021,13.38092157,1534.968456,107.7252902,Petrol,Manual,First,White,Delhi,90988,0,1,0,1,4,5,4,1205237.94
Mercedes,GLA,2011,15.98319404,1941.522086,152.3394018,Petrol,Manual,Second,Grey,Mumbai,114814,1,1,0,0,5,5,14,3170500.045
Ford,Endeavour,2011,14.25077485,800,,Diesel,Automatic,Third,Red,Bangalore,73962,1,0,0,1,4,5,14,483102.3968
Hyundai,Creta,2004,,1847.739744,139.5517892,Petrol,Manual,First,Grey,Mumbai,414771,0,1,0,1,4,7,21,562765.8185
Nissan,Kicks,2011,13.5772713,1443.172393,92.88144902,Diesel,Automatic,First,Black,Ahmedabad,109970,1,1,0,1,5,5,14,802119.7255
Mahindra,Scorpio,2003,24.19255882,1769.596952,113.8417278,Petrol,,First,Red,Pune,389862,0,1,0,1,5,5,22,50000
Ford,Figo,2007,20.14605382,1082.834402,111.9005174,,Manual,Second,Brown,Pune,256752,1,0,1,1,2,5,18,316702.1528
Kia,Seltos,2016,,1284.930474,117.1120306,Petrol,Automatic,First,Brown,Mumbai,180468,1,0,0,1,4,5,9,1106891.828
Mahindra,Bolero,2009,18.39964784,1518.607426,,Electric,Manual,First,Blue,Mumbai,1581888,1,0,1,0,4,5,16,2100046.283
Mercedes,E-Class,2017,22.02424098,2002.798086,188.2869622,Electric,Manual,Second,White,Pune,74288,1,1,0,1,5,5,8,2137043.65
Nissan,Magnite,2022,,1463.220815,,Petrol,Automatic,First,Brown,Chennai,37992,1,1,0,0,4,5,3,707348.5447
BMW,3 Series,2022,13.52747758,1545.032759,99.64910571,,Manual,First,Silver,Pune,20307,0,1,0,1,4,5,3,2952208.985
Honda,City,2011,,1345.227177,99.7910467,Petrol,Manual,First,Brown,Ahmedabad,286804,0,1,0,1,4,5,14,690072.5723
Mercedes,E-Class,2018,18.5029198,,129.6881758,Diesel,,First,Blue,Bangalore,48398,1,0,0,1,5,7,7,3722874.579
BMW,X1,2003,16.94251412,1177.315713,96.66102864,Diesel,Manual,First,Brown,Pune,535150,1,1,0,1,4,5,22,129900.8478
Audi,A4,2022,16.30650257,1334.572006,102.5776422,Diesel,Manual,Fourth+,Red,Chennai,68397,0,1,2,1,4,5,3,2679220.216
Toyota,Camry,2007,25.90917005,1269.248959,113.3433365,Diesel,Automatic,First,Blue,Hyderabad,143604,1,1,0,1,4,5,18,1037812.583
Hyundai,Verna,2017,22.60641259,1339.627311,120.758032,Diesel,Automatic,First,Blue,Ahmedabad,111808,1,1,0,1,4,5,8,454398.4106
BMW,3 Series,2024,14.23144771,1007.584318,,Petrol,Manual,Third,Red,Kolkata,5927,1,1,0,0,4,5,1,3521516.047
Ford,EcoSport,2010,21.54231025,1348.381084,120.1350027,Diesel,Automatic,First,Blue,Hyderabad,257790,1,1,1,0,5,5,15,792758.3076
Mercedes,GLA,2011,19.66654508,1325.294254,77.13518798,CNG,Automatic,Second,Black,Mumbai,289240,1,1,0,1,5,5,14,2159443.124
Toyota,Camry,2018,16.51835963,,102.8429144,Electric,,Second,Brown,Ahmedabad,96117,1,1,1,1,5,5,7,1464505.425
Mahindra,Bolero,2021,13.01124667,946.9525434,85.34595161,Diesel,Manual,First,Grey,Chennai,96232,1,0,0,1,4,5,4,756835.7823
Hyundai,Verna,2000,17.15838131,2109.798836,175.2221898,,Manual,First,White,Ahmedabad,208675,1,1,0,1,5,5,25,357428.3759
Skoda,Kushaq,2022,22.20481642,2245.628485,180.8348406,Diesel,Manual,Third,Grey,Kolkata,35223,1,1,1,1,4,5,3,1657119.037
BMW,X3,2004,13.16143698,1749.581867,116.9111128,CNG,Manual,First,Grey,Chennai,184758,0,0,0,1,4,5,21,1756667.455
Audi,Q5,2012,18.83840953,1287.854496,91.90295758,Petrol,Manual,Fourth+,White,Chennai,90961,1,1,1,1,5,7,13,1693829.408
Kia,Sonet,2010,,1395.150832,113.7020714,CNG,Manual,Second,Grey,Pune,260340,1,0,0,1,5,5,15,1150831.897
Skoda,Octavia,2000,24.80410701,1359.180411,107.6817509,Diesel,Manual,Third,Blue,Delhi,301675,1,0,1,0,5,5,25,50000
BMW,X3,2000,22.16473492,1384.306447,109.2441116,Electric,Manual,First,Red,Delhi,559550,1,0,0,1,4,5,25,743233.6262
Ford,Figo,2019,21.94114229,1506.720299,131.9934517,Petrol,Manual,First,Black,Kolkata,119856,0,1,0,1,5,4,6,803901.8838
Ford,EcoSport,2005,,800,84.39674418,Petrol,Manual,Second,Silver,,305620,1,0,2,1,4,5,20,50000
Volkswagen,Virtus,2024,15.81436981,1319.270963,93.72294935,Diesel,Manual,Third,Red,Ahmedabad,6596,1,1,0,1,4,5,1,1205900.664
Mercedes,C-Class,2009,20.99073952,800,50.20132437,Petrol,Manual,Second,Brown,Delhi,246240,0,1,1,1,4,5,16,1252977.996
Honda,Civic,2009,,1644.595527,96.5960423,Electric,Manual,First,Grey,Chennai,383392,1,1,0,1,4,7,16,475166.1909
Honda,Civic,2001,13.98075544,800,26.06174364,Petrol,Manual,First,White,Hyderabad,157032,1,1,0,0,4,5,24,238672.3131
Kia,Sonet,2013,19.43786407,1513.535017,138.6436861,Petrol,Manual,Second,Grey,Kolkata,264684,1,0,0,0,4,5,12,403801.4379
Volkswagen,Virtus,2016,16.00116679,1357.781789,92.0839968,,Automatic,First,Grey,Delhi,54540,1,0,0,1,4,7,9,1181113.318
Hyundai,Creta,2003,15.97680601,1821.077969,170.4622347,Diesel,Manual,First,Blue,Pune,231088,1,1,0,0,5,5,22,342219.5965
Mercedes,C-Class,2023,22.81783082,1264.325965,78.56572146,Diesel,Manual,Fourth+,Blue,Pune,20346,1,1,1,1,4,7,2,4157704.074
Audi,Q5,2001,20.57564329,1219.902663,70.28294468,Hybrid,Manual,First,Grey,Hyderabad,406896,1,1,1,0,4,5,24,860821.5371
Audi,Q3,2013,21.0987366,800,62.70048699,Petrol,Manual,Third,Grey,Mumbai,242328,1,0,0,1,5,5,12,2149952.993
Tata,Harrier,2003,14.49631734,1922.466177,146.1071217,Petrol,Manual,Second,Grey,Kolkata,384164,1,1,0,1,4,5,22,50000
BMW,X1,2020,18.4066478,1208.771745,115.5012279,Diesel,Manual,Second,Grey,Hyderabad,25725,1,1,0,1,4,4,5,2169475.504
Mahindra,Scorpio,2003,17.71014705,2217.495484,122.8406533,Petrol,Automatic,Third,Brown,Pune,447502,1,1,0,1,4,5,22,148754.8488
Mahindra,Scorpio,2018,19.89480738,800,100.6100323,Petrol,Manual,Second,Brown,Chennai,102536,1,0,1,1,4,5,7,1141612.161
Tata,Harrier,2008,16.40157073,1407.767502,117.8780917,Hybrid,Manual,First,Black,Mumbai,115498,0,1,0,0,4,7,17,50000
Toyota,Camry,2010,14.3705522,1760.60509,149.5668911,Diesel,Manual,First,Brown,Hyderabad,208635,1,1,1,1,5,5,15,1070441.99
Tata,Nexon,2012,10.6793917,2126.52919,193.6724788,Electric,Manual,First,Brown,,174031,1,1,1,1,4,5,13,1029783.826
Honda,Amaze,2009,21.96383634,1225.190432,88.53003512,CNG,,Second,White,Delhi,267392,1,1,0,0,4,7,16,407599.1493
Hyundai,Creta,2002,,,57.04525638,Diesel,Manual,Third,Grey,Kolkata,271722,1,1,1,1,5,5,23,50000
Tata,Punch,2018,14.19142141,1787.231327,148.0199115,Electric,Manual,First,Red,Kolkata,97321,1,1,0,1,5,5,7,975703.8579
Toyota,Camry,2016,17.80349031,1625.162345,118.6914143,CNG,Automatic,First,Black,Chennai,48483,1,1,0,1,4,7,9,966341.4887
Audi,Q3,2020,15.9515662,1198.348603,80.43465373,Hybrid,Manual,Second,Black,Delhi,74330,1,1,0,1,5,7,5,1674369.17
BMW,3 Series,2022,29.83474212,1806.2319,,Hybrid,,Second,Silver,Mumbai,68190,1,1,0,1,4,5,3,2440221.228
Nissan,Kicks,2017,17.34689969,1873.852822,152.0498165,Hybrid,,Third,,Bangalore,156200,1,1,0,1,5,5,8,605238.9532
BMW,X1,2008,,1744.292896,,Petrol,Automatic,First,Black,Delhi,300764,1,1,0,1,5,5,17,1181019.657
BMW,X3,2013,19.49777368,1694.970362,,Diesel,Automatic,First,Grey,Kolkata,207528,0,1,1,1,4,5,12,1755846.809
Hyundai,i20,2014,16.14185118,1097.456923,101.9571832,Petrol,,First,Red,Mumbai,130306,1,0,0,1,5,5,11,302096.2352
Mercedes,GLA,2002,17.14770137,1305.356672,86.71385635,Petrol,Automatic,First,Grey,Pune,323196,0,1,0,1,4,5,23,2144098.482
Nissan,Sunny,2005,20.84597492,1313.763281,77.73814264,,Manual,First,Grey,Kolkata,391360,1,1,0,1,5,5,20,376294.1358
Mahindra,Bolero,2021,20.5420749,,90.62543433,Diesel,Manual,Second,,Kolkata,85544,1,1,1,1,5,5,4,1007664.445
Mercedes,E-Class,2015,22.03432828,935.5185149,71.32616801,Petrol,Manual,First,Blue,Mumbai,75440,1,0,0,1,4,5,10,2976379.216
Tata,Harrier,2018,16.26940556,1439.966495,72.13083559,,Manual,Second,White,,50953,1,1,0,1,5,7,7,1124081.674
Ford,Endeavour,2009,,1938.086858,164.2782803,CNG,Manual,First,Grey,,220080,1,1,2,1,2,2,16,50000
Volkswagen,Polo,2021,23.39031578,1104.299757,74.23883648,Petrol,Manual,First,Brown,Delhi,57012,1,1,0,1,4,5,4,1548908.087
Nissan,Kicks,2019,12.97500401,956.0753926,72.19778586,,Manual,First,Red,Bangalore,122268,1,1,0,1,4,5,6,985212.1226
Volkswagen,Polo,2017,23.33308014,2322.126596,,Petrol,Manual,Second,Brown,Hyderabad,111640,1,1,0,1,5,5,8,1613514.865
Kia,Carens,2011,15.17703409,1640.262018,93.20825002,Petrol,Manual,First,Red,Bangalore,332220,1,0,0,1,4,5,14,911577.2977
Volkswagen,Polo,2003,7.345967623,1404.604176,159.5596666,Petrol,Manual,First,Blue,Hyderabad,403986,1,0,0,0,2,5,22,386486.1943
Kia,Sonet,2008,21.72768661,1758.906194,164.7490022,Electric,Automatic,First,White,Pune,194514,1,1,0,0,4,7,17,1082044.284
Tata,Harrier,2005,17.5496865,1654.753104,178.253732,CNG,Manual,Fourth+,,Kolkata,424740,1,1,1,1,2,7,20,140718.0864
Kia,Sonet,2003,21.50538549,1617.016622,121.8872172,Hybrid,Automatic,Second,Blue,Kolkata,547272,1,0,0,1,4,5,22,54057.64998
Volkswagen,Polo,2003,16.52270481,,88.67113142,Diesel,Manual,First,,Kolkata,540012,1,1,0,1,4,5,22,50000
BMW,X3,2004,15.05004841,1174.080859,94.92109732,Diesel,Manual,First,White,Ahmedabad,300531,1,1,0,1,4,5,21,654067.3898
Nissan,Kicks,2010,16.72818583,1980.398636,120.8031789,Petrol,Automatic,First,Red,Bangalore,261525,0,1,1,1,2,5,15,387518.1772
Toyota,Camry,2020,16.56986292,1371.516206,82.13549911,Petrol,Automatic,Second,Silver,Mumbai,77275,1,1,0,1,5,5,5,440504.8462
Ford,Figo,2009,16.88609146,1247.124081,75.36148783,Hybrid,Manual,Second,Grey,Ahmedabad,391200,1,1,0,0,2,4,16,367335.0058
Audi,Q5,2018,,1100.882618,94.31338259,Petrol,Manual,First,Blue,Kolkata,142233,1,1,0,1,5,4,7,1616865.395
Skoda,Kushaq,2010,18.44989226,941.61378,68.34283678,Diesel,,First,Brown,Mumbai,90105,1,1,0,1,4,5,15,950136.1781
